Country,Tally,Lat,Lon,fully_protected,multiuse
Philippines,12,13,122,6,6
Italy,1,42.8333333,12.833333,0,1
New Zealand,5,-41,174,5,0
Indonesia,3,-5,120,0,3
USA,3,38,-97,1,2
Sweden,2,62,15,1,1
Australia,2,-27,133,0,2
Malaysia,2,2.5,112.5,1,1
Netherland Antilles,2,52.5,5.75,0,2
Tanzania,2,-6,35,1,1
Vietnam,2,16.16667,107.83333,1,1
Chile,1,-30,-71,0,1
Colombia,1,4,-72,0,1
Jamaica,1,18.25,-77.5,0,1
Maldives,1,3.25,73,0,1
Saint Martin,1,18.0708,63.0501,1,0
Spain,1,40,-4,0,1
St Vincent & the Granadines,1,13.25,-61.2,0,1
Vanuatu,1,-16,167,0,1