ID,Cost_class,Management,Administration,Enforcement,Research,Planning,Community_outreach,Cost_type,Cost_km,GDP_pc,Protection_level
VT22,Management,1,0,0,0,0,0,pa,3282,"60,602.00",Partially protected
RNC15,Management,1,0,0,0,0,0,pa,11253.6,"75,018.00",Fully protected
RNC15,Management,1,0,0,0,0,0,pa,2996,"75,018.00",Fully protected
RNC15,Management,1,0,0,0,0,0,pa,2711.4,"75,018.00",Fully protected
RNC15,Management,1,0,0,0,0,0,pa,3834,"75,018.00",Fully protected
RNC15,Management,1,0,0,0,0,0,pa,3621.1,"75,018.00",Fully protected
RGB09,Management,1,0,0,0,0,0,pa,11639.7,"10,627.00",Partially protected
TA20,Management,1,0,0,0,0,0,pa,466282.3,"60,602.00",Partially protected
WV00,Maintenance,1,1,1,0,0,0,pa,15242,"5,912.00",Partially protected
WV00,Maintenance,1,1,1,0,0,0,pa,228626,"5,912.00",Partially protected
SK23,Management,1,0,0,0,0,0,pa,537.2,"7,577.00",Partially protected
SK23,Administrative,0,1,0,0,0,0,pa,1385,"7,577.00",Partially protected
SK23,Enforcement,0,0,1,0,0,0,pa,1142.7,"7,577.00",Partially protected
SK23,Administrative,0,1,0,0,0,0,pa,1053.1,"7,577.00",Partially protected
P20,Maintenance,1,1,1,0,0,0,pa,5283.8,"86,261.00",Partially protected
XS17,Management,1,0,0,0,0,0,pa,780.5,"6,653.00",Partially protected
AV23,Maintenance,1,1,1,0,0,0,pa,20091,"52,065.00",Partially protected
AV23,Maintenance,1,1,1,0,0,0,pa,81525.7,"52,065.00",Partially protected
PB18,Maintenance,1,1,1,0,0,0,pa,33083,3515.24,Partially protected
PB18,Maintenance,1,1,1,0,0,0,pa,21134,,Fully protected
H13,Management,1,0,0,0,0,0,pa,18.90369798,"100,717.00",Partially protected
HF10,Enforcement,0,0,1,0,0,0,pa,157.3098514,"128,605.00",Partially protected
HF10,Enforcement,0,0,1,0,0,0,pa,196.9069895,"128,605.00",Partially protected
GA13,Management,1,0,0,0,0,0,pa,14317.21,17067.814,Partially protected
KVB10,Maintenance,1,1,1,0,0,0,pa,2941.138,"6,653.00",Partially protected
TT08,Maintenance,1,1,1,0,0,0,pa,459.0535,11379.086,Fully protected
TT08,Maintenance,1,1,1,0,0,0,pa,192.4989,11379.086,Fully protected
TT08,Maintenance,1,1,1,0,0,0,pa,7108.202,"5,912.00",Fully protected
TT08,Maintenance,1,1,1,0,0,0,pa,2024.443,"100,717.00",Partially protected
TT08,Maintenance,1,1,1,0,0,0,pa,2581.402,"7,577.00",Partially protected
TD04,Maintenance,1,1,1,0,0,0,pa,2223.63366,"5,912.00",Fully protected
TD04,Administrative,0,1,0,0,0,0,pa,464.0599826,"5,913.00",Fully protected
TD04,Enforcement,0,0,1,0,0,0,pa,1063.473375,"5,914.00",Fully protected
TD04,Management,1,0,0,0,0,0,pa,386.7166522,"5,916.00",Fully protected
MSZ11,Establishment,0,0,0,1,1,1,package,174580,"5,912.00",Fully protected
MSZ11,Establishment,0,0,0,1,1,1,package,42703.3,"5,912.00",Partially protected
MSZ11,Establishment,0,0,0,1,1,1,package,5389218,"1,903.00",Fully protected
MSZ11,Establishment,0,0,0,1,1,1,package,19882.9,"5,912.00",Partially protected
MSZ11,Establishment,0,0,0,1,1,1,package,30968,"5,912.00",Fully protected
MSZ11,Establishment,0,0,0,1,1,1,package,17060,"5,912.00",Fully protected
MSZ11,Establishment,0,0,0,1,1,1,package,7763.9,"5,912.00",Fully protected
MSZ11,Establishment,0,0,0,1,1,1,package,108996.1,"15,819.00",Partially protected
MSZ11,Establishment,0,0,0,1,1,1,package,72169.5,"15,819.00",Partially protected
MSZ11,Establishment,0,0,0,1,1,1,package,25215.7,"6,653.00",Partially protected
MSZ11,Establishment,0,0,0,1,1,1,package,387.2,"10,795.00",Partially protected
MSZ11,Establishment,0,0,0,1,1,1,package,69,"128,605.00",Partially protected
MSZ11,Establishment,0,0,0,1,1,1,package,163.5,"128,605.00",Fully protected
RNC15,Establishment,0,0,0,1,1,1,package,48876.1,"75,018.00",Fully protected
LS12,Community outreach,0,0,0,0,0,1,package,910,"7,577.00",Fully protected
GF13,Establishment,0,0,0,1,1,1,package,24699.7,"128,605.00",Partially protected
SK23,Establishment,0,0,0,1,1,1,package,40219,"7,577.00",Partially protected
XS17,Establishment,0,0,0,1,1,1,package,13613.8,"6,653.00",Partially protected
PB18,Establishment,0,0,0,1,1,1,pa,92354,3515.24,Partially protected
PB18,Establishment,0,0,0,1,1,1,pa,31061,,Fully protected
H13,Establishment,0,0,0,1,1,1,package,28.21447475,"100,717.00",Partially protected
TD04,Community outreach,0,0,0,0,0,1,pa,309.3733218,"5,915.00",Fully protected